job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_eq_ignore_case,TRUE,1659,1416,282,2989,n/a,87,n/a,n/a,0.07,0.05,n/a,n/a,1.52,1.31,n/a,n/a,0.01,0.05,1.54
byte_cursor_from_array,TRUE,765,579,45,202,n/a,10,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.02,n/a,n/a,0.01,0.01,0.04
byte_cursor_from_buf,TRUE,1689,1214,191,873,n/a,70,n/a,n/a,0.03,0.02,n/a,n/a,0.09,0.03,n/a,n/a,0.01,0.01,0.11
byte_cursor_from_c_str,TRUE,1655,1476,286,1380,n/a,44,n/a,n/a,0.01,0.01,n/a,n/a,0.20,0.17,n/a,n/a,0.01,0.01,0.22
byte_cursor_from_string,TRUE,1015,774,86,532,2,21,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.02,n/a,n/a,0.01,0.01,0.07
byte_cursor_left_trim_pred,TRUE,1248,1098,187,895,n/a,53,n/a,n/a,0.03,0.01,n/a,n/a,0.09,0.03,n/a,n/a,0.01,0.01,0.11
byte_cursor_read,TRUE,1466,1104,155,782,4,43,n/a,n/a,0.02,0.01,n/a,n/a,0.19,0.15,n/a,n/a,0.01,0.01,0.20
byte_cursor_read_and_fill_buffer,TRUE,2186,1578,263,1268,4,85,n/a,n/a,0.04,0.04,n/a,n/a,0.61,0.46,n/a,n/a,0.01,0.04,0.64
byte_cursor_read_be16,TRUE,1431,1052,116,646,2,45,n/a,n/a,0.02,0.01,n/a,n/a,0.09,0.03,n/a,n/a,0.01,0.02,0.10
byte_cursor_read_be32,TRUE,1432,1083,116,671,2,45,n/a,n/a,0.02,0.01,n/a,n/a,0.11,0.06,n/a,n/a,0.01,0.02,0.13
byte_cursor_read_be64,TRUE,1454,1090,116,722,2,45,n/a,n/a,0.02,0.01,n/a,n/a,0.10,0.06,n/a,n/a,0.01,0.02,0.12
byte_cursor_read_u8,TRUE,1372,1038,123,636,2,39,n/a,n/a,0.02,0.01,n/a,n/a,0.09,0.04,n/a,n/a,0.01,0.01,0.10
byte_cursor_right_trim_pred,TRUE,1247,1066,221,1021,n/a,53,n/a,n/a,0.02,0.01,n/a,n/a,0.08,0.04,n/a,n/a,0.01,0.01,0.11
byte_cursor_satisfies_pred,TRUE,1085,995,130,679,1,42,n/a,n/a,0.02,0.01,n/a,n/a,0.06,0.02,n/a,n/a,0.01,0.01,0.08
byte_cursor_trim_pred,TRUE,1335,1327,316,1459,10,54,n/a,n/a,0.06,0.02,n/a,n/a,0.29,0.19,n/a,n/a,0.01,0.01,0.30
hash_ptr,TRUE,2144,512,13,68,n/a,6,n/a,n/a,0.00,0.01,n/a,n/a,0.02,0.01,n/a,n/a,n/a,0.01,0.03
hash_string,TRUE,2572,1255,206,879,24,12,n/a,n/a,0.04,0.01,n/a,n/a,0.14,0.05,n/a,n/a,n/a,0.03,0.16
hash_array_ignore_case,TRUE,558,675,106,435,8,3,n/a,n/a,0.02,0.01,n/a,n/a,0.08,0.03,n/a,n/a,0.01,0.01,0.10
hash_byte_cursor_ptr,TRUE,2754,1513,192,797,n/a,53,n/a,n/a,0.02,0.01,n/a,n/a,0.06,0.02,n/a,n/a,0.01,0.01,0.08
hash_byte_cursor_ptr_ignore_case,TRUE,901,863,99,460,n/a,32,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.02,n/a,n/a,0.01,0.01,0.05
hash_c_string,TRUE,3289,1996,467,2004,56,10,n/a,n/a,0.06,0.03,n/a,n/a,0.59,0.42,n/a,n/a,n/a,0.05,0.61
hash_callback_string_eq,TRUE,1235,1653,562,3649,36,41,n/a,n/a,0.18,0.04,n/a,n/a,4.12,3.86,n/a,n/a,0.01,0.03,4.16
hash_callback_c_str_eq,TRUE,1868,2442,637,3229,n/a,84,n/a,n/a,0.02,0.01,n/a,n/a,5.58,5.50,n/a,n/a,0.01,0.03,5.60
hash_callback_string_destroy,TRUE,754,717,44,253,1,7,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.03,n/a,n/a,n/a,0.01,0.06
hash_iter_begin,TRUE,2924,2610,848,3764,34,138,n/a,n/a,0.36,0.11,n/a,n/a,0.97,0.42,n/a,n/a,0.01,0.05,1.04
hash_iter_begin_done,TRUE,3122,3731,1415,5729,66,178,n/a,n/a,0.57,0.17,n/a,n/a,1.37,0.52,n/a,n/a,0.01,0.05,1.45
hash_iter_next,TRUE,3413,2538,685,3037,15,170,n/a,n/a,0.25,0.12,n/a,n/a,1.17,0.71,n/a,n/a,0.01,0.05,1.23
hash_iter_done,TRUE,3252,2353,605,2578,6,167,n/a,n/a,0.26,0.15,n/a,n/a,0.60,0.09,n/a,n/a,0.01,0.05,0.65
hash_iter_delete,TRUE,3067,2462,601,3428,11,143,n/a,n/a,0.23,0.11,n/a,n/a,2.34,1.84,n/a,n/a,0.01,0.11,2.40
hash_table_eq,TRUE,3783,15435,7821,30291,592,621,n/a,n/a,5.90,2.80,n/a,n/a,20.33,10.56,n/a,n/a,0.01,0.29,20.94
hash_table_get_entry_count,TRUE,1923,1479,268,1281,n/a,72,n/a,n/a,0.04,0.03,n/a,n/a,0.16,0.06,n/a,n/a,0.01,0.03,0.19
hash_table_move,TRUE,1806,1376,259,1251,n/a,69,n/a,n/a,0.05,0.05,n/a,n/a,0.31,0.12,n/a,n/a,0.01,0.06,0.33
