job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_buf_from_c_str,TRUE,1851,1627,372,1633,n/a,52,n/a,n/a,0.03,0.01,n/a,n/a,0.62,0.55,n/a,n/a,0.01,0.02,0.64
byte_buf_from_empty_array,TRUE,925,696,90,349,n/a,18,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.01,n/a,n/a,0.01,0.01,0.05
byte_buf_init,TRUE,1129,821,126,483,n/a,28,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.02,n/a,n/a,0.01,0.01,0.06
byte_buf_init_copy,TRUE,2213,1567,460,2121,n/a,100,n/a,n/a,0.07,0.03,n/a,n/a,0.51,0.37,n/a,n/a,0.01,0.03,0.53
byte_buf_init_copy_from_cursor,TRUE,1755,1162,235,916,2,54,n/a,n/a,0.02,0.02,n/a,n/a,0.13,0.06,n/a,n/a,0.01,0.03,0.16
byte_buf_reserve,TRUE,1549,1008,206,771,n/a,43,n/a,n/a,0.02,0.01,n/a,n/a,0.12,0.05,n/a,n/a,0.01,0.03,0.13
byte_buf_reserve_relative,TRUE,2090,1319,367,1385,n/a,75,n/a,n/a,0.07,0.03,n/a,n/a,0.19,0.05,n/a,n/a,0.01,0.02,0.21
byte_buf_reset,TRUE,1070,869,118,477,n/a,20,n/a,n/a,0.01,0.01,n/a,n/a,0.09,0.06,n/a,n/a,0.01,0.01,0.10
byte_buf_secure_zero,TRUE,1211,947,183,712,n/a,37,n/a,n/a,0.02,0.01,n/a,n/a,0.10,0.05,n/a,n/a,0.01,0.01,0.11
byte_buf_write,TRUE,1722,1284,329,1283,2,67,n/a,n/a,0.04,0.02,n/a,n/a,0.19,0.10,n/a,n/a,0.01,0.02,0.21
byte_buf_write_be16,TRUE,1626,1193,308,1185,n/a,69,n/a,n/a,0.03,0.02,n/a,n/a,0.10,0.03,n/a,n/a,0.01,0.01,0.12
byte_buf_write_be32,TRUE,1626,1211,308,1185,n/a,69,n/a,n/a,0.04,0.02,n/a,n/a,0.11,0.03,n/a,n/a,0.01,0.01,0.13
byte_buf_write_be64,TRUE,1623,1201,308,1183,n/a,69,n/a,n/a,0.04,0.02,n/a,n/a,0.11,0.03,n/a,n/a,0.01,0.01,0.13
byte_buf_write_from_whole_buffer,TRUE,2485,1719,575,2170,2,125,n/a,n/a,0.09,0.07,n/a,n/a,0.54,0.28,n/a,n/a,0.01,0.05,0.58
byte_buf_write_from_whole_cursor,TRUE,2311,1590,463,1769,2,104,n/a,n/a,0.08,0.05,n/a,n/a,0.37,0.17,n/a,n/a,0.01,0.04,0.39
byte_buf_write_from_whole_string,TRUE,2080,1562,405,1979,17,68,n/a,n/a,0.07,0.02,n/a,n/a,0.58,0.45,n/a,n/a,0.01,0.03,0.61
byte_buf_write_u8,TRUE,1588,1176,308,1181,n/a,69,n/a,n/a,0.04,0.02,n/a,n/a,0.11,0.03,n/a,n/a,0.01,0.01,0.14
