job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
hash_iter_begin,TRUE,2924,2610,972,4081,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.40,0.33,n/a,n/a,0.00,0.04,0.43
hash_iter_begin_done,TRUE,3122,3731,1547,6066,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.76,0.69,n/a,n/a,0.00,0.03,0.81
hash_iter_next,TRUE,3413,2538,857,3476,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.61,0.54,n/a,n/a,0.00,0.04,0.64
hash_iter_done,TRUE,3252,2353,768,2995,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.13,0.06,n/a,n/a,0.00,0.03,0.15
hash_iter_delete,TRUE,3067,2462,726,3744,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.37,1.24,n/a,n/a,0.00,0.10,1.40
hash_table_eq,TRUE,3783,15435,8027,30826,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.55,7.82,n/a,n/a,0.00,0.24,8.69
hash_table_get_entry_count,TRUE,1923,1479,315,1404,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.13,0.09,n/a,n/a,0.00,0.02,0.15
hash_table_move,TRUE,1806,1376,304,1369,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.14,0.09,n/a,n/a,0.00,0.03,0.15
hash_table_swap,TRUE,2852,2075,601,2811,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.44,0.34,n/a,n/a,0.00,0.07,0.46
hash_table_clean_up,TRUE,1724,1846,863,3299,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.36,0.30,n/a,n/a,0.00,0.03,0.38
hash_table_clear,TRUE,1978,2320,956,3579,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.27,0.21,n/a,n/a,0.00,0.03,0.29
