job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
linked_list_front,TRUE,3978,1652,283,1560,10,23,33,12,0.07,0.02,0.08,0.25,2.02,1.84,n/a,n/a,0.01,0.05,2.04
linked_list_init,TRUE,551,321,6,30,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.02,0.01,n/a,n/a,0.00,n/a,0.03
linked_list_remove,TRUE,657,429,9,49,n/a,n/a,2,n/a,0.01,n/a,0.01,0.02,0.03,0.01,n/a,n/a,0.01,0.01,0.03
linked_list_pop_back,TRUE,4428,2044,428,2222,32,22,56,9,0.07,0.03,0.17,0.68,2.31,2.08,n/a,n/a,0.01,0.08,2.33
linked_list_pop_front,TRUE,4427,2075,456,2319,32,22,56,9,0.08,0.02,0.17,0.74,1.99,1.82,n/a,n/a,0.01,0.04,2.03
linked_list_prev,TRUE,636,444,15,85,n/a,n/a,8,n/a,0.01,n/a,0.01,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.04
linked_list_next,TRUE,636,432,9,49,n/a,n/a,2,6,0.01,n/a,0.01,0.02,0.03,0.01,n/a,n/a,0.01,0.01,0.03
linked_list_node_reset,TRUE,430,401,13,69,n/a,1,n/a,1,0.01,0.01,0.01,0.01,0.03,0.02,n/a,n/a,0.01,0.01,0.04
linked_list_push_back,TRUE,4593,1959,353,1892,16,22,50,9,0.07,0.02,0.12,0.36,1.38,1.17,n/a,n/a,0.01,0.06,1.40
linked_list_push_front,TRUE,4602,2058,411,2257,21,22,53,9,0.09,0.03,0.16,0.67,2.07,1.82,n/a,n/a,0.01,0.07,2.10
linked_list_swap_contents,TRUE,9074,4520,897,6996,5,125,124,34,0.19,0.05,0.40,1.03,8.28,7.28,n/a,n/a,0.01,0.62,8.34
linked_list_insert_after,TRUE,677,433,8,43,n/a,n/a,1,n/a,0.01,n/a,0.01,0.02,0.02,0.01,n/a,n/a,0.01,0.01,0.03
linked_list_insert_before,TRUE,677,432,8,43,n/a,n/a,1,n/a,0.01,n/a,0.01,0.01,0.02,0.01,n/a,n/a,0.01,0.01,0.03
linked_list_rbegin,TRUE,3982,1670,290,1613,10,23,33,12,0.02,0.01,0.08,0.27,0.81,0.75,n/a,n/a,0.01,0.02,0.83
linked_list_rend,TRUE,3808,1536,223,1281,6,17,23,12,0.02,0.01,0.07,0.24,1.13,1.07,n/a,n/a,0.01,0.02,1.14
string_bytes,TRUE,744,671,24,185,2,5,2,5,0.01,0.01,0.01,0.02,0.09,0.07,n/a,n/a,0.01,0.01,0.11
string_compare,TRUE,1347,1326,320,1990,39,6,19,6,0.04,0.02,0.01,0.05,2.06,1.96,n/a,n/a,0.01,0.03,2.08
string_eq,TRUE,1319,1299,316,1933,41,6,21,6,0.05,0.02,0.02,0.06,1.97,1.86,n/a,n/a,0.01,0.03,1.99
string_eq_byte_buf,TRUE,1710,1402,289,1567,18,20,13,7,0.05,0.02,0.02,0.08,0.45,0.37,n/a,n/a,0.01,0.02,0.47
string_eq_byte_buf_ignore_case,TRUE,1505,1344,247,2918,16,15,10,3,0.04,0.02,0.02,0.07,0.86,0.76,n/a,n/a,0.01,0.03,0.88
string_eq_byte_cursor,TRUE,1531,1240,214,1249,19,5,16,5,0.04,0.01,0.02,0.06,0.49,0.42,n/a,n/a,0.01,0.01,0.51
string_eq_byte_cursor_ignore_case,TRUE,1297,1378,196,2754,16,4,10,3,0.03,0.01,0.01,0.05,0.91,0.83,n/a,n/a,0.01,0.03,0.93
string_eq_c_str,TRUE,1217,1586,366,2135,7,55,8,7,0.02,0.01,0.01,0.03,0.96,0.89,n/a,n/a,0.01,0.02,0.98
string_eq_c_str_ignore_case,TRUE,1145,1630,355,4693,6,55,7,7,0.03,0.01,0.01,0.03,2.85,2.66,n/a,n/a,0.01,0.08,2.89
string_eq_ignore_case,TRUE,1123,1458,368,4820,46,6,14,6,0.11,0.04,0.01,0.04,1.84,1.55,n/a,n/a,0.01,0.09,1.87
string_new_from_array,TRUE,1132,876,75,506,n/a,15,6,9,0.01,0.01,0.01,0.02,0.21,0.17,n/a,n/a,0.01,0.01,0.22
string_new_from_c_str,TRUE,2013,1697,206,1045,n/a,48,3,30,0.01,0.01,0.02,0.04,0.12,0.07,n/a,n/a,0.01,0.02,0.14
string_new_from_string,TRUE,1301,1000,116,1063,9,18,17,10,0.02,0.01,0.02,0.05,0.62,0.56,n/a,n/a,0.01,0.03,0.63
string_destroy,TRUE,713,668,26,194,2,3,2,3,0.01,0.01,0.01,0.02,0.06,0.03,n/a,n/a,n/a,0.01,0.08
string_destroy_secure,TRUE,900,791,49,902,4,4,4,4,0.01,0.01,0.01,0.02,0.40,0.36,n/a,n/a,0.01,0.02,0.42
priority_queue_size,TRUE,3492,1623,160,735,n/a,6,6,3,0.02,0.01,0.08,0.76,0.23,0.18,n/a,n/a,0.01,0.01,0.25
